fecha,tmed,tmin,tmax,hrMedia,tmed_max,tmed_min,tmed_mean,tmin_max,tmin_min,tmin_mean,tmax_max,tmax_min,tmax_mean,hrMedia_max,hrMedia_min,hrMedia_mean,estacion_Invierno,estacion_Otoño,estacion_Primavera,estacion_Verano,mes
2022-08-16,22.399999618530273,18.799999237060547,26.100000381469727,57.0,26.200000762939453,22.399999618530273,24.083333651224773,24.0,18.799999237060547,21.383333524068195,28.399999618530273,25.899999618530273,26.78333346048991,85.0,57.0,74.66666666666667,False,False,False,True,8
2022-08-17,22.899999618530273,18.700000762939453,27.100000381469727,41.0,26.700000762939453,22.399999618530273,24.166666666666668,24.700000762939453,18.700000762939453,20.86666711171468,28.700000762939453,25.799999237060547,27.483333269755047,88.0,41.0,70.0,False,False,False,True,8
2022-08-18,21.799999237060547,18.100000381469727,25.600000381469727,51.0,26.799999237060547,21.799999237060547,24.399999300638836,23.899999618530273,18.100000381469727,21.233332951863606,29.799999237060547,25.600000381469727,27.60000006357829,87.0,51.0,69.66666666666667,False,False,False,True,8
2022-08-19,22.0,20.0,24.100000381469727,71.0,26.200000762939453,22.0,24.46666685740153,23.399999618530273,20.0,21.5,29.200000762939453,24.100000381469727,27.5,82.0,56.0,70.83333333333333,False,False,False,True,8
2022-08-20,26.0,22.299999237060547,29.600000381469727,35.0,27.399999618530273,23.700000762939453,25.449999809265137,24.700000762939453,21.100000381469727,22.516666730244953,30.200000762939453,26.299999237060547,28.43333371480306,80.0,35.0,70.16666666666667,False,False,False,True,8
2022-08-21,23.399999618530273,19.5,27.399999618530273,69.0,26.0,22.600000381469727,24.39999993642171,24.299999237060547,18.5,21.616666475931805,28.299999237060547,26.299999237060547,27.199999809265137,89.0,69.0,81.33333333333333,False,False,False,True,8
2022-08-22,23.0,20.0,25.899999618530273,76.0,26.799999237060547,22.600000381469727,24.71666653951009,24.799999237060547,19.700000762939453,22.583333333333332,28.799999237060547,25.600000381469727,26.883333524068195,84.0,68.0,75.66666666666667,False,False,False,True,8
2022-08-23,25.5,22.0,29.0,71.0,27.399999618530273,22.799999237060547,25.46666653951009,25.100000381469727,19.299999237060547,22.949999809265137,29.700000762939453,25.899999618530273,27.93333371480306,75.0,67.0,71.0,False,False,False,True,8
2022-08-24,24.600000381469727,21.299999237060547,27.899999618530273,74.0,27.200000762939453,24.200000762939453,25.533333778381348,24.700000762939453,20.700000762939453,22.93333339691162,30.399999618530273,26.600000381469727,28.166666666666668,82.0,63.0,74.66666666666667,False,False,False,True,8
2022-08-25,22.700000762939453,19.5,25.899999618530273,78.0,27.100000381469727,22.700000762939453,24.950000127156574,24.700000762939453,19.5,22.483333269755047,29.5,25.799999237060547,27.399999618530273,86.0,71.0,79.16666666666667,False,False,False,True,8
2022-08-26,24.799999237060547,20.700000762939453,28.899999618530273,77.0,27.80000114440918,24.700000762939453,25.69166644414266,24.799999237060547,20.700000762939453,22.96666685740153,36.29999923706055,26.899999618530273,29.366666475931805,82.0,50.0,74.0,False,False,False,True,8
2022-08-27,25.100000381469727,22.700000762939453,27.5,73.0,27.200000762939453,23.799999237060547,25.200000127156574,25.5,20.700000762939453,22.83333396911621,29.100000381469727,26.399999618530273,27.60000006357829,81.0,29.0,68.33333333333333,False,False,False,True,8
2022-08-28,26.200000762939453,24.200000762939453,28.299999237060547,75.0,26.799999237060547,23.899999618530273,25.55833339691162,25.100000381469727,21.0,22.75,31.799999237060547,26.100000381469727,28.483332951863606,86.0,44.0,69.16666666666667,False,False,False,True,8
2022-08-29,26.299999237060547,23.600000381469727,29.0,76.0,26.299999237060547,23.600000381469727,25.066667238871258,24.100000381469727,18.299999237060547,21.800000190734863,35.20000076293945,25.700000762939453,28.60000006357829,79.0,70.0,74.0,False,False,False,True,8
2022-08-30,25.100000381469727,22.100000381469727,28.100000381469727,86.0,28.0,22.799999237060547,24.766666730244953,26.600000381469727,18.399999618530273,21.85000006357829,29.5,25.0,27.700000127156574,86.0,44.0,70.83333333333333,False,False,False,True,8
